epoch,lr-AdamW,step,test/loss,test/mae,test/phm_paper_per_bearing,test/phm_per_bearing,test/phm_score,test/phm_score_paper,test/r2,test/rmse,test/rmse_per_bearing,train/loss_epoch,train/loss_step,train/rmse,val/loss,val/mae,val/phm_paper_per_bearing,val/phm_per_bearing,val/phm_score,val/phm_score_paper,val/r2,val/rmse,val/rmse_per_bearing
,0.0008,0,,,,,,,,,,,,,,,,,,,,,
0,,1,,,,,,,,,,,,,0.061071187257766724,0.20599375665187836,1.8164136409759521,0.8320496678352356,0.8320496678352356,1.8164136409759521,-0.29585978388786316,0.24712584912776947,0.24712584912776947
0,,1,,,,,,,,,,0.06398621201515198,,,,,,,,,,,
,0.0007996491320395434,2,,,,,,,,,,,,,,,,,,,,,
1,,3,,,,,,,,,,,,,0.07207299768924713,0.22027119994163513,1.9794361591339111,0.8198584318161011,0.8198584318161011,1.9794361591339111,-0.5293054580688477,0.2684641480445862,0.2684641480445862
1,,3,,,,,,,,,,0.040876708924770355,,,,,,,,,,,
,0.0007985971436998018,4,,,,,,,,,,,,,,,,,,,,,
2,,5,,,,,,,,,,,,,0.09338455647230148,0.24921314418315887,2.2807910442352295,0.8023679852485657,0.8023679852485657,2.2807910442352295,-0.9815115928649902,0.30558884143829346,0.30558884143829346
2,,5,,,,,,,,,,0.023116545751690865,,,,,,,,,,,
,0.0007968458805257913,6,,,,,,,,,,,,,,,,,,,,,
3,,7,,,,,,,,,,,,,0.1294706016778946,0.2983795404434204,2.7661871910095215,0.779836118221283,0.779836118221283,2.7661871910095215,-1.7472161054611206,0.35982024669647217,0.35982024669647217
3,,7,,,,,,,,,,0.012588214129209518,,,,,,,,,,,
,0.000794398414828202,8,,,,,,,,,,,,,,,,,,,,,
4,,9,,,,,,,,,,,0.01564943790435791,0.11004271358251572,,,,,,,,,
4,,9,,,,,,,,,,,,,0.1398058980703354,0.31195616722106934,2.8977103233337402,0.7744396924972534,0.7744396924972534,2.8977103233337402,-1.9665189981460571,0.3739062547683716,0.3739062547683716
4,,9,,,,,,,,,,0.014365327544510365,,,,,,,,,,,
,0.0007912590402935223,10,,,,,,,,,,,,,,,,,,,,,
5,,11,,,,,,,,,,,,,0.1492241770029068,0.32493501901626587,3.022135019302368,0.7696356177330017,0.7696356177330017,3.022135019302368,-2.1663637161254883,0.3862954378128052,0.3862954378128052
5,,11,,,,,,,,,,0.020423417910933495,,,,,,,,,,,
,0.0007874332644514524,12,,,,,,,,,,,,,,,,,,,,,
6,,13,,,,,,,,,,,,,0.1581854671239853,0.33821752667427063,3.14977765083313,0.7649413347244263,0.7649413347244263,3.14977765083313,-2.3565118312835693,0.39772534370422363,0.39772534370422363
6,,13,,,,,,,,,,0.012000473216176033,,,,,,,,,,,
,0.0007829277990128269,14,,,,,,,,,,,,,,,,,,,,,
7,,15,,,,,,,,,,,,,0.1284785121679306,0.29535380005836487,2.736363410949707,0.7811148762702942,0.7811148762702942,2.736363410949707,-1.7261650562286377,0.35843899846076965,0.35843899846076965
7,,15,,,,,,,,,,0.015763558447360992,,,,,,,,,,,
,0.0007777505480949926,16,,,,,,,,,,,,,,,,,,,,,
8,,17,,,,,,,,,,,,,0.1012287363409996,0.2564530670642853,2.343456745147705,0.7995272874832153,0.7995272874832153,2.343456745147705,-1.147956371307373,0.3181646466255188,0.3181646466255188
8,,17,,,,,,,,,,0.010996216908097267,,,,,,,,,,,
,0.0007719105943553007,18,,,,,,,,,,,,,,,,,,,,,
9,,19,,,,,,,,,,,0.011267532594501972,0.09443346410989761,,,,,,,,,
9,,19,,,,,,,,,,,,,0.09908139705657959,0.25277990102767944,2.30682635307312,0.801302969455719,0.801302969455719,2.30682635307312,-1.1023924350738525,0.31477198004722595,0.31477198004722595
9,,19,,,,,,,,,,0.012440142221748829,,,,,,,,,,,
,0.0007654181830570405,20,,,,,,,,,,,,,,,,,,,,,
10,,21,,,,,,,,,,,,,0.10766763985157013,0.26488035917282104,2.437969923019409,0.7942267060279846,0.7942267060279846,2.437969923019409,-1.2845823764801025,0.3281274735927582,0.3281274735927582
10,,21,,,,,,,,,,0.010321416892111301,,,,,,,,,,,
,0.0007582847040957653,22,,,,,,,,,,,,,,,,,,,,,
