epoch,lr-AdamW,step,test/loss,test/mae,test/phm_paper_per_bearing,test/phm_per_bearing,test/phm_score,test/phm_score_paper,test/r2,test/rmse,test/rmse_per_bearing,train/loss_epoch,train/loss_step,train/rmse,val/loss,val/mae,val/phm_paper_per_bearing,val/phm_per_bearing,val/phm_score,val/phm_score_paper,val/r2,val/rmse,val/rmse_per_bearing
,0.0008,0,,,,,,,,,,,,,,,,,,,,,
0,,1,,,,,,,,,,,,,0.04758935049176216,0.18888019025325775,1.552490234375,0.864238977432251,0.864238977432251,1.552490234375,-0.009790763258934021,0.2181498259305954,0.2181498259305954
0,,1,,,,,,,,,,0.06917117536067963,,,,,,,,,,,
,0.0007996491320395434,2,,,,,,,,,,,,,,,,,,,,,
1,,3,,,,,,,,,,,,,0.06592711061239243,0.2139350324869156,1.889658808708191,0.8280096054077148,0.8280096054077148,1.889658808708191,-0.3988967835903168,0.2567627429962158,0.2567627429962158
1,,3,,,,,,,,,,0.06350898742675781,,,,,,,,,,,
,0.0007985971436998018,4,,,,,,,,,,,,,,,,,,,,,
2,,5,,,,,,,,,,,,,0.05949553847312927,0.2056700438261032,1.790327787399292,0.836377739906311,0.836377739906311,1.790327787399292,-0.26242637634277344,0.2439170777797699,0.2439170777797699
2,,5,,,,,,,,,,0.06351159512996674,,,,,,,,,,,
,0.0007968458805257913,6,,,,,,,,,,,,,,,,,,,,,
3,,7,,,,,,,,,,,,,0.05100097879767418,0.19438782334327698,1.6354016065597534,0.8532114028930664,0.8532114028930664,1.6354016065597534,-0.08218146860599518,0.2258339524269104,0.2258339524269104
3,,7,,,,,,,,,,0.05847011134028435,,,,,,,,,,,
,0.000794398414828202,8,,,,,,,,,,,,,,,,,,,,,
4,,9,,,,,,,,,,,0.056810881942510605,0.23588892817497253,,,,,,,,,
4,,9,,,,,,,,,,,,,0.06032846122980118,0.20837436616420746,1.8074265718460083,0.83652263879776,0.83652263879776,1.8074265718460083,-0.28010013699531555,0.245618537068367,0.245618537068367
4,,9,,,,,,,,,,0.055848926305770874,,,,,,,,,,,
,0.0007912590402935223,10,,,,,,,,,,,,,,,,,,,,,
5,,11,,,,,,,,,,,,,0.08926829695701599,0.24687351286411285,2.229620933532715,0.8072584271430969,0.8072584271430969,2.229620933532715,-0.8941696882247925,0.2987779974937439,0.2987779974937439
5,,11,,,,,,,,,,0.05015674978494644,,,,,,,,,,,
,0.0007874332644514524,12,,,,,,,,,,,,,,,,,,,,,
6,,13,,,,,,,,,,,,,0.06753616034984589,0.21960124373435974,1.9300144910812378,0.8275551795959473,0.8275551795959473,1.9300144910812378,-0.43303900957107544,0.25987720489501953,0.25987720489501953
6,,13,,,,,,,,,,0.04926704615354538,,,,,,,,,,,
,0.0007829277990128269,14,,,,,,,,,,,,,,,,,,,,,
7,,15,,,,,,,,,,,,,0.06318692117929459,0.21365761756896973,1.8622348308563232,0.8328334093093872,0.8328334093093872,1.8622348308563232,-0.34075310826301575,0.25137007236480713,0.25137007236480713
7,,15,,,,,,,,,,0.04808717966079712,,,,,,,,,,,
,0.0007777505480949926,16,,,,,,,,,,,,,,,,,,,,,
8,,17,,,,,,,,,,,,,0.07945173233747482,0.2340521663427353,2.0954060554504395,0.8153152465820312,0.8153152465820312,2.0954060554504395,-0.6858735680580139,0.28187182545661926,0.28187182545661926
8,,17,,,,,,,,,,0.047983553260564804,,,,,,,,,,,
,0.0007719105943553007,18,,,,,,,,,,,,,,,,,,,,,
9,,19,,,,,,,,,,,0.04521123692393303,0.20651334524154663,,,,,,,,,
9,,19,,,,,,,,,,,,,0.08302102237939835,0.2379995733499527,2.1414997577667236,0.8120397329330444,0.8120397329330444,2.1414997577667236,-0.7616097927093506,0.2881336808204651,0.2881336808204651
9,,19,,,,,,,,,,0.047344520688056946,,,,,,,,,,,
,0.0007654181830570405,20,,,,,,,,,,,,,,,,,,,,,
10,,21,,,,,,,,,,,,,0.07210513949394226,0.22338031232357025,1.9858094453811646,0.8219402432441711,0.8219402432441711,1.9858094453811646,-0.5299873948097229,0.2685239911079407,0.2685239911079407
10,,21,,,,,,,,,,0.04649213328957558,,,,,,,,,,,
,0.0007582847040957653,22,,,,,,,,,,,,,,,,,,,,,
11,,23,,,,,,,,,,,,,0.06398038566112518,0.21244913339614868,1.8629953861236572,0.8310037851333618,0.8310037851333618,1.8629953861236572,-0.3575895130634308,0.2529434263706207,0.2529434263706207
11,,23,,,,,,,,,,0.04582461342215538,,,,,,,,,,,
,0.0007505226720175456,24,,,,,,,,,,,,,,,,,,,,,
12,,25,,,,,,,,,,,,,0.06391436606645584,0.2121271789073944,1.8608686923980713,0.8309946656227112,0.8309946656227112,1.8608686923980713,-0.35618874430656433,0.252812922000885,0.252812922000885
12,,25,,,,,,,,,,0.04571099579334259,,,,,,,,,,,
,0.0007421457040642029,26,,,,,,,,,,,,,,,,,,,,,
13,,27,,,,,,,,,,,,,0.06992153823375702,0.21996115148067474,1.950905442237854,0.824033260345459,0.824033260345459,1.950905442237854,-0.48365381360054016,0.2644267976284027,0.2644267976284027
13,,27,,,,,,,,,,0.04530797898769379,,,,,,,,,,,
,0.0007331684962840401,28,,,,,,,,,,,,,,,,,,,,,
14,,29,,,,,,,,,,,0.044288039207458496,0.20568032562732697,,,,,,,,,
14,,29,,,,,,,,,,,,,0.07744871079921722,0.2297595888376236,2.058741331100464,0.8166942596435547,0.8166942596435547,2.058741331100464,-0.6433718204498291,0.2782960832118988,0.2782960832118988
14,,29,,,,,,,,,,0.04445480927824974,,,,,,,,,,,
,0.0007236067977499793,30,,,,,,,,,,,,,,,,,,,,,
15,,31,,,,,,,,,,,,,0.07891584187746048,0.23177532851696014,2.080202341079712,0.8153301477432251,0.8153301477432251,2.080202341079712,-0.6745025515556335,0.28091961145401,0.28091961145401
15,,31,,,,,,,,,,0.04379855841398239,,,,,,,,,,,
,0.0007134773829303362,32,,,,,,,,,,,,,,,,,,,,,
16,,33,,,,,,,,,,,,,0.07349236309528351,0.2244715541601181,2.0014724731445312,0.8204018473625183,0.8204018473625183,2.0014724731445312,-0.5594226717948914,0.27109473943710327,0.27109473943710327
16,,33,,,,,,,,,,0.04318350553512573,,,,,,,,,,,
,0.0007027980222607029,34,,,,,,,,,,,,,,,,,,,,,
17,,35,,,,,,,,,,,,,0.07643140107393265,0.2279137820005417,2.039813280105591,0.8176587820053101,0.8176587820053101,2.039813280105591,-0.6217858195304871,0.2764623165130615,0.2764623165130615
17,,35,,,,,,,,,,0.04261905327439308,,,,,,,,,,,
,0.0006915874509685649,36,,,,,,,,,,,,,,,,,,,,,
18,,37,,,,,,,,,,,,,0.08205657452344894,0.23494012653827667,2.115665912628174,0.8127484321594238,0.8127484321594238,2.115665912628174,-0.7411452531814575,0.2864551842212677,0.2864551842212677
18,,37,,,,,,,,,,0.04098348319530487,,,,,,,,,,,
,0.0006798653362053465,38,,,,,,,,,,,,,,,,,,,,,
19,,39,,,,,,,,,,,0.03952324762940407,0.193593829870224,,,,,,,,,
19,,39,,,,,,,,,,,,,0.07502636313438416,0.22511543333530426,2.009704828262329,0.8193250894546509,0.8193250894546509,2.009704828262329,-0.5919723510742188,0.27390938997268677,0.27390938997268677
19,,39,,,,,,,,,,0.03995714709162712,,,,,,,,,,,
,0.0006676522425435435,40,,,,,,,,,,,,,,,,,,,,,
20,,41,,,,,,,,,,,,,0.08898984640836716,0.2429026961326599,2.1957247257232666,0.8079079985618591,0.8079079985618591,2.1957247257232666,-0.8882614374160767,0.29831165075302124,0.29831165075302124
20,,41,,,,,,,,,,0.03853142261505127,,,,,,,,,,,
,0.0006549695958994761,42,,,,,,,,,,,,,,,,,,,,,
21,,43,,,,,,,,,,,,,0.08976560831069946,0.24293604493141174,2.1879870891571045,0.8086370825767517,0.8086370825767517,2.1879870891571045,-0.9047223329544067,0.29960909485816956,0.29960909485816956
21,,43,,,,,,,,,,0.03700513020157814,,,,,,,,,,,
,0.0006418396459449501,44,,,,,,,,,,,,,,,,,,,,,
22,,45,,,,,,,,,,,,,0.12861156463623047,0.29200947284698486,2.690657377243042,0.7829132676124573,0.7829132676124573,2.690657377243042,-1.7289882898330688,0.35862454771995544,0.35862454771995544
22,,45,,,,,,,,,,0.03577033057808876,,,,,,,,,,,
,0.0006282854270737729,46,,,,,,,,,,,,,,,,,,,,,
23,,47,,,,,,,,,,,,,0.09897221624851227,0.25283220410346985,2.270702838897705,0.8051338195800781,0.8051338195800781,2.270702838897705,-1.1000757217407227,0.3145985007286072,0.3145985007286072
23,,47,,,,,,,,,,0.03843054547905922,,,,,,,,,,,
,0.0006143307179915986,48,,,,,,,,,,,,,,,,,,,,,
24,,49,,,,,,,,,,,0.03379679098725319,0.17801988124847412,,,,,,,,,
24,,49,,,,,,,,,,,,,0.12155275791883469,0.28252357244491577,2.590630292892456,0.7877175807952881,0.7877175807952881,2.590630292892456,-1.5792086124420166,0.3486441671848297,0.3486441671848297
24,,49,,,,,,,,,,0.035529475659132004,,,,,,,,,,,
,0.0006,50,,,,,,,,,,,,,,,,,,,,,
25,,51,,,,,,,,,,,,,0.11673161387443542,0.27679991722106934,2.532879590988159,0.7905490398406982,0.7905490398406982,2.532879590988159,-1.4769093990325928,0.3416600823402405,0.3416600823402405
25,,51,,,,,,,,,,0.03552761673927307,,,,,,,,,,,
,0.0005853184140479447,52,,,,,,,,,,,,,,,,,,,,,
26,,53,,,,,,,,,,,,,0.09465645253658295,0.248518168926239,2.2305915355682373,0.8072078824043274,0.8072078824043274,2.2305915355682373,-1.0085002183914185,0.30766287446022034,0.30766287446022034
26,,53,,,,,,,,,,0.03296729922294617,,,,,,,,,,,
,0.0005703117166260291,54,,,,,,,,,,,,,,,,,,,,,
27,,55,,,,,,,,,,,,,0.12044978886842728,0.2821372449398041,2.5907132625579834,0.7876866459846497,0.7876866459846497,2.5907132625579834,-1.555804967880249,0.3470587730407715,0.3470587730407715
27,,55,,,,,,,,,,0.033882856369018555,,,,,,,,,,,
,0.0005550062345808412,56,,,,,,,,,,,,,,,,,,,,,
28,,57,,,,,,,,,,,,,0.11019577085971832,0.26897144317626953,2.4531607627868652,0.7945994734764099,0.7945994734764099,2.4531607627868652,-1.338226318359375,0.33195745944976807,0.33195745944976807
28,,57,,,,,,,,,,0.03425545245409012,,,,,,,,,,,
,0.0005394288189287262,58,,,,,,,,,,,,,,,,,,,,,
29,,59,,,,,,,,,,,0.031975388526916504,0.17318125069141388,,,,,,,,,
29,,59,,,,,,,,,,,,,0.10433173179626465,0.2614150643348694,2.3702824115753174,0.7992526888847351,0.7992526888847351,2.3702824115753174,-1.21379816532135,0.32300421595573425,0.32300421595573425
29,,59,,,,,,,,,,0.03177947923541069,,,,,,,,,,,
,0.0005236067977499791,60,,,,,,,,,,,,,,,,,,,,,
30,,61,,,,,,,,,,,,,0.13138699531555176,0.29540061950683594,2.7221696376800537,0.7816333770751953,0.7816333770751953,2.7221696376800537,-1.7878795862197876,0.36247342824935913,0.36247342824935913
30,,61,,,,,,,,,,0.0312638133764267,,,,,,,,,,,
,0.0005075679282461063,62,,,,,,,,,,,,,,,,,,,,,
31,,63,,,,,,,,,,,,,0.1234879344701767,0.28482702374458313,2.6066839694976807,0.7874635457992554,0.7874635457992554,2.6066839694976807,-1.620270848274231,0.3514085114002228,0.3514085114002228
