epoch,lr-AdamW,step,test/loss,test/mae,test/phm_paper_per_bearing,test/phm_per_bearing,test/phm_score,test/phm_score_paper,test/r2,test/rmse,test/rmse_per_bearing,train/loss_epoch,train/loss_step,train/rmse,val/loss,val/mae,val/phm_paper_per_bearing,val/phm_per_bearing,val/phm_score,val/phm_score_paper,val/r2,val/rmse,val/rmse_per_bearing
,0.0008,0,,,,,,,,,,,,,,,,,,,,,
0,,4,,,,,,,,,,,,,0.3233180046081543,0.54640793800354,2.0980615615844727,0.7330714464187622,0.648081362247467,8.39224624633789,-0.44715145230293274,0.5686105489730835,0.575477123260498
0,,4,,,,,,,,,,0.07050957530736923,,,,,,,,,,,
,0.0007996491320395434,5,,,,,,,,,,,,,,,,,,,,,
1,,9,,,,,,,,,,,0.06408706307411194,0.2517792284488678,,,,,,,,,
1,,9,,,,,,,,,,,,,0.29833513498306274,0.5225458741188049,2.000269651412964,0.7336519956588745,0.6485914587974548,8.001078605651855,-0.33532968163490295,0.5462006330490112,0.5518115758895874
1,,9,,,,,,,,,,0.0649598240852356,,,,,,,,,,,
,0.0007985971436998018,10,,,,,,,,,,,,,,,,,,,,,
2,,14,,,,,,,,,,,,,0.1572227030992508,0.3815440237522125,1.4559295177459717,0.7381740808486938,0.652597188949585,5.823718070983887,0.29628080129623413,0.3965131938457489,0.4016719162464142
2,,14,,,,,,,,,,0.052951715886592865,,,,,,,,,,,
,0.0007968458805257913,15,,,,,,,,,,,,,,,,,,,,,
3,,19,,,,,,,,,,,0.019977636635303497,0.11329837888479233,,,,,,,,,
3,,19,,,,,,,,,,,,,0.06982556730508804,0.236322820186615,0.8716486692428589,0.7418839931488037,0.6557324528694153,3.4865946769714355,0.6874650716781616,0.26424527168273926,0.25344717502593994
3,,19,,,,,,,,,,0.02460559457540512,,,,,,,,,,,
,0.000794398414828202,20,,,,,,,,,,,,,,,,,,,,,
