epoch,lr-AdamW,step,test/loss,test/mae,test/phm_paper_per_bearing,test/phm_per_bearing,test/phm_score,test/phm_score_paper,test/r2,test/rmse,test/rmse_per_bearing,train/loss_epoch,train/loss_step,train/rmse,val/loss,val/mae,val/phm_paper_per_bearing,val/phm_per_bearing,val/phm_score,val/phm_score_paper,val/r2,val/rmse,val/rmse_per_bearing
,0.0008,0,,,,,,,,,,,,,,,,,,,,,
0,,9,,,,,,,,,,,0.07947768270969391,0.2812540531158447,,,,,,,,,
0,,19,,,,,,,,,,,0.07668286561965942,0.27581244707107544,,,,,,,,,
0,,20,,,,,,,,,,,,,0.07476188242435455,0.2381051629781723,1.0230284929275513,0.9001425504684448,0.8906433582305908,2.0460569858551025,0.033105574548244476,0.27342620491981506,0.26337990164756775
0,,20,,,,,,,,,,0.07687437534332275,,,,,,,,,,,
,0.0007996491320395434,21,,,,,,,,,,,,,,,,,,,,,
1,,29,,,,,,,,,,,0.07364349067211151,0.26975899934768677,,,,,,,,,
1,,39,,,,,,,,,,,0.059915587306022644,0.24225452542304993,,,,,,,,,
1,,41,,,,,,,,,,,,,0.07794416695833206,0.24137304723262787,1.0745958089828491,0.8757984042167664,0.874474823474884,2.1491916179656982,-0.008050884120166302,0.27918484807014465,0.2758256196975708
1,,41,,,,,,,,,,0.06654288619756699,,,,,,,,,,,
,0.0007985971436998018,42,,,,,,,,,,,,,,,,,,,,,
2,,49,,,,,,,,,,,0.06344911456108093,0.24991457164287567,,,,,,,,,
2,,59,,,,,,,,,,,0.06316926330327988,0.24936935305595398,,,,,,,,,
2,,62,,,,,,,,,,,,,0.07721758633852005,0.2396199256181717,1.0778313875198364,0.8732525110244751,0.8709466457366943,2.155662775039673,0.0013460357440635562,0.2778805196285248,0.2726038694381714
2,,62,,,,,,,,,,0.06240111216902733,,,,,,,,,,,
,0.0007968458805257913,63,,,,,,,,,,,,,,,,,,,,,
3,,69,,,,,,,,,,,0.05556017905473709,0.23189415037631989,,,,,,,,,
3,,79,,,,,,,,,,,0.06041601672768593,0.2424999326467514,,,,,,,,,
3,,83,,,,,,,,,,,,,0.07206719368696213,0.22852659225463867,1.0433683395385742,0.8760978579521179,0.8693329095840454,2.0867366790771484,0.06795598566532135,0.26845332980155945,0.2522585690021515
3,,83,,,,,,,,,,0.06052924320101738,,,,,,,,,,,
,0.000794398414828202,84,,,,,,,,,,,,,,,,,,,,,
4,,89,,,,,,,,,,,0.06008308380842209,0.24119646847248077,,,,,,,,,
4,,99,,,,,,,,,,,0.0545756034553051,0.22842936217784882,,,,,,,,,
