epoch,lr-AdamW,step,test/loss,test/mae,test/phm_paper_per_bearing,test/phm_per_bearing,test/phm_score,test/phm_score_paper,test/r2,test/rmse,test/rmse_per_bearing,train/loss_epoch,train/loss_step,train/rmse,val/loss,val/mae,val/phm_paper_per_bearing,val/phm_per_bearing,val/phm_score,val/phm_score_paper,val/r2,val/rmse,val/rmse_per_bearing
,0.0008,0,,,,,,,,,,,,,,,,,,,,,
0,,9,,,,,,,,,,,0.07693928480148315,0.27684932947158813,,,,,,,,,
0,,19,,,,,,,,,,,0.07506194710731506,0.2735389173030853,,,,,,,,,
0,,20,,,,,,,,,,,,,0.07721533626317978,0.24041901528835297,1.0525614023208618,0.8833111524581909,0.8815234303474426,2.1051228046417236,0.0013751051155850291,0.27787646651268005,0.27348774671554565
0,,20,,,,,,,,,,0.07873769849538803,,,,,,,,,,,
,0.0007996491320395434,21,,,,,,,,,,,,,,,,,,,,,
1,,29,,,,,,,,,,,0.07219536602497101,0.26831722259521484,,,,,,,,,
1,,39,,,,,,,,,,,0.07512609660625458,0.27351319789886475,,,,,,,,,
1,,41,,,,,,,,,,,,,0.07697206735610962,0.2398417592048645,1.0423678159713745,0.8876813054084778,0.8847612738609314,2.084735631942749,0.004521383438259363,0.2774384021759033,0.27138814330101013
1,,41,,,,,,,,,,0.07664225250482559,,,,,,,,,,,
,0.0007985971436998018,42,,,,,,,,,,,,,,,,,,,,,
2,,49,,,,,,,,,,,0.07222733646631241,0.26723548769950867,,,,,,,,,
2,,59,,,,,,,,,,,0.07940556108951569,0.28071165084838867,,,,,,,,,
2,,62,,,,,,,,,,,,,0.07721951603889465,0.24045626819133759,1.0538767576217651,0.882799506187439,0.881048321723938,2.1077535152435303,0.0013210283359512687,0.27788400650024414,0.27359065413475037
2,,62,,,,,,,,,,0.07458241283893585,,,,,,,,,,,
,0.0007968458805257913,63,,,,,,,,,,,,,,,,,,,,,
3,,69,,,,,,,,,,,0.07544958591461182,0.2738811671733856,,,,,,,,,
3,,79,,,,,,,,,,,0.06996141374111176,0.2635341286659241,,,,,,,,,
3,,83,,,,,,,,,,,,,0.07656166702508926,0.23932287096977234,1.0468801259994507,0.8846570253372192,0.8821315169334412,2.0937602519989014,0.009828991256654263,0.2766977846622467,0.2711958587169647
3,,83,,,,,,,,,,0.07415873557329178,,,,,,,,,,,
,0.000794398414828202,84,,,,,,,,,,,,,,,,,,,,,
4,,89,,,,,,,,,,,0.06896942108869553,0.2614702582359314,,,,,,,,,
4,,99,,,,,,,,,,,0.0737871527671814,0.27013111114501953,,,,,,,,,
