epoch,lr-AdamW,step,test/loss,test/mae,test/phm_paper_per_bearing,test/phm_per_bearing,test/phm_score,test/phm_score_paper,test/r2,test/rmse,test/rmse_per_bearing,train/loss_epoch,train/loss_step,train/rmse,val/loss,val/mae,val/phm_paper_per_bearing,val/phm_per_bearing,val/phm_score,val/phm_score_paper,val/r2,val/rmse,val/rmse_per_bearing
,0.0008,0,,,,,,,,,,,,,,,,,,,,,
0,,4,,,,,,,,,,,,,0.2375694215297699,0.47965142130851746,1.8624439239501953,0.7360110878944397,0.6507253646850586,7.449775695800781,-0.06334612518548965,0.48741093277931213,0.49714523553848267
0,,4,,,,,,,,,,0.0436892993748188,,,,,,,,,,,
,0.0007996491320395434,5,,,,,,,,,,,,,,,,,,,,,
1,,9,,,,,,,,,,,0.010611713863909245,0.061942003667354584,,,,,,,,,
1,,9,,,,,,,,,,,,,0.28088492155075073,0.473139226436615,1.7639541625976562,0.7332438826560974,0.6484508514404297,7.055816650390625,-0.2572236955165863,0.529985785484314,0.5241631269454956
1,,9,,,,,,,,,,0.012917660176753998,,,,,,,,,,,
,0.0007985971436998018,10,,,,,,,,,,,,,,,,,,,,,
2,,14,,,,,,,,,,,,,0.37161311507225037,0.5152587890625,1.8964760303497314,0.7305908799171448,0.646111011505127,7.585904121398926,-0.6633176803588867,0.609600841999054,0.5825453400611877
2,,14,,,,,,,,,,0.008963827043771744,,,,,,,,,,,
,0.0007968458805257913,15,,,,,,,,,,,,,,,,,,,,,
3,,19,,,,,,,,,,,0.00816771574318409,0.03649353235960007,,,,,,,,,
3,,19,,,,,,,,,,,,,0.3928819000720978,0.5219355225563049,1.9142755270004272,0.730166494846344,0.645607590675354,7.657102108001709,-0.7585151791572571,0.626802921295166,0.588996410369873
3,,19,,,,,,,,,,0.008653143420815468,,,,,,,,,,,
,0.000794398414828202,20,,,,,,,,,,,,,,,,,,,,,
4,,24,,,,,,,,,,,,,0.373380571603775,0.5062249302864075,1.8525736331939697,0.7307374477386475,0.6460309624671936,7.410294532775879,-0.6712285280227661,0.6110487580299377,0.5697188973426819
4,,24,,,,,,,,,,0.008919828571379185,,,,,,,,,,,
,0.0007912590402935223,25,,,,,,,,,,,,,,,,,,,,,
5,,29,,,,,,,,,,,0.00839680340141058,0.035435717552900314,,,,,,,,,
5,,29,,,,,,,,,,,,,0.33728542923927307,0.48010319471359253,1.7534217834472656,0.7317677140235901,0.6468607187271118,7.0136871337890625,-0.50966876745224,0.5807628035545349,0.5380545854568481
5,,29,,,,,,,,,,0.008363891392946243,,,,,,,,,,,
,0.0007874332644514524,30,,,,,,,,,,,,,,,,,,,,,
6,,34,,,,,,,,,,,,,0.32040977478027344,0.46722012758255005,1.704483985900879,0.7322031855583191,0.6472649574279785,6.817935943603516,-0.43413451313972473,0.5660474896430969,0.5244995355606079
6,,34,,,,,,,,,,0.008054596371948719,,,,,,,,,,,
,0.0007829277990128269,35,,,,,,,,,,,,,,,,,,,,,
7,,39,,,,,,,,,,,0.007876102812588215,0.023492207750678062,,,,,,,,,
